zolai	english	translations	cefr	example
muntam	flat		C2	Tuk-3 dan Vok tuk-3 dan pen muntam-ah zang uh hi.
muntang
tangin	vice 	vice 	C2	
munteng	israel	israel | land | went | astray	C2	laibu khupin biakinn nasempa tungah pia kikin
muntengah	all-over	all-over	C2	Zopau abaih kei hi, Lai-ah i sut ding haksatna tampi om hi.
munzaang	vale		C2	Sakhi in tua kizik munzaang a’ muh ciang in, taimang pah hi.
mupah	babe	babe | lying | manger | came	C2	Amaute nawhpai mahmah uh a
mural	(n) phar parih ngan mi zuk	(n) phar parih ngan mi zuk	C2	Tua pen Clarion Alley Mural Project (CAMP) kici
murder	(v) tualthat; (n) thahna	(v) tualthat; (n) thahna	C2	Yanni in "second-degree murder" hangin mawhpuanna ah khutsuai hi.
murderer	(n) tualthatpa	(n) tualthatpa	C2	Siami (murderer) in ama sisan mah tawh a gelh.
murderess	(n.): lainawngtu nu (nunau).	(n.): lainawngtu nu (nunau).	C2	He would gladly eat the murderess if he could
murderous	(a) tualthahna ding lam, tualthah na lam	(a) tualthahna ding lam, tualthah na lam	C2	
murk	(n.): မှောင်မိုက်ခြင်း။ညှို့မှိုင်းခြင်း။	(n.): မှောင်မိုက်ခြင်း။ညှို့မှိုင်းခြင်း။	C2	
murkily	(adv.): ညှို့ညှို့မှိုင်းမှိုင်း။	(adv.): ညှို့ညှို့မှိုင်းမှိုင်း။	C2	
murky	(a) khuamial, khua zing	(a) khuamial, khua zing	C2	
murmur	(v) phunphun, phun hat, phunciak	(v) phunphun, phun hat, phunciak	C2	Wait, and Murmur Not [Late 37:7].
murmurer	phunphun mi, a phunphun mi	phunphun mi | a phunphun mi | murmurer | n. a phunphun mi.	C2	
murmuring	(adj.): ညည်းသော။ တတွတ်တွတ်အသံမြည်သော။	(adj.): ညည်းသော။ တတွတ်တွတ်အသံမြည်သော။	C2	
murmurous	phunphun vaai, phunphun vaai phunciak mi phunna tawh a kidim mi	phunphun vaai | phunphun vaai phunciak mi phunna tawh a kidim mi | adj. phunphun vaai; phunciak mi; phunna tawh a kidim mi. | phunciak mi	C2	
murphy	n. aalu., aalu	n. aalu. | aalu | Aalu | murphy	C2	Murphy dan na hiat hiam?
murrain	(n.): ganhing puul natna; ganhing natna	(n.): ganhing puul natna; ganhing natna	C2	
murrey	murrey, n. san-vom hiiuhiau; dup pian meel.	murrey | n. san-vom hiiuhiau; dup pian meel. | san-vom hiiuhiau | san-vom hiiuhiau dup pian meel	C2	
musakkik	eyes	eyes | opened | say | lord	C2	ka mit uh khua hong musakkik in,” a ci uh hi.
muscadine	n. American leenggah., muscadine	n. American leenggah. | muscadine | American leenggah	C2	
muscat	n. Europe leenggah., muscat	n. Europe leenggah. | muscat | Europe leenggah	C2	Muscat pen Oman gam khuapi hi.
muscatel	sazuk gim namtui kihel lenggah zuu, muscatel	sazuk gim namtui kihel lenggah zuu | muscatel	C2	
muscid	nih nei (ganhing neute, inn thote), kha nih nei (ganhing neute, inn thote)	nih nei (ganhing neute, inn thote) | kha nih nei (ganhing neute, inn thote) | muscid | adj. kha nih nei (ganhing neute, inn thote)	C2	
muscle	(n) sa tak, thagui thahatna	(n) sa tak, thagui thahatna	C2	Na sa (muscle) na kiam hiam?
muscle-man	muscle-man, mi thahaat	muscle-man | mi thahaat | sagaap tawh kidim mi mi thahaat | sagaap tawh kidim mi	C2	
muscly	leh baan laka sagaap sah benban nei mi, muscly	leh baan laka sagaap sah benban nei mi | muscly | adj. awm leh baan laka sagaap sah benban nei mi. | awm leh baan laka sagaap sah benban nei mi	C2	
muscovado	cikhum san akisiang sak nailo cikhum, muscovado	cikhum san akisiang sak nailo cikhum | muscovado	C2	
muscovy	muscovy, Muscovy	muscovy | Muscovy | (nidang sapna min)Rusia gam	C2	
muscular	(a) thaguilam, sa tak lam	(a) thaguilam, sa tak lam	C2	Sami pen thahat (muscular) hi lo hi.
musculature	musculature, n. sagaapte kigualhdaan.	musculature | n. sagaapte kigualhdaan. | sagaapte kigualhdaan	C2	
muse	(v) khuaruat	(v) khuaruat	C2	Muse aw, ama' gensiatna maisak in.
museology	(n.): ပြတိုက်များစီမံအုပ်ချုပ်သည့်အတတ်ပညာ။ ၄င်းအတတ်ပညာကျွမ်းကျင်တတ်မြောက်သူ။	(n.): ပြတိုက်များစီမံအုပ်ချုပ်သည့်အတတ်ပညာ။ ၄င်းအတတ်ပညာကျွမ်းကျင်တတ်မြောက်သူ။	C2	
muser	(n.): လေးလေးနက်နက်ဆစဉ်းစားဆင်ခြင်သူ။ အတွေးလွန်ငေးမောတတ်သူူ။	(n.): လေးလေးနက်နက်ဆစဉ်းစားဆင်ခြင်သူ။ အတွေးလွန်ငေးမောတတ်သူူ။	C2	
museum	(n.): tanglai vante kikoihna mun, khangluilai vante kepcingna inn; nidang lai vanzatte koihna inn, van lui koihna inn	(n.): tanglai vante kikoihna mun, khangluilai vante kepcingna inn; nidang lai vanzatte koihna inn, van lui koihna inn	C2	Tua inn, Museum kici hi.
mush	(n) buhciim, tangciim, anciim	(n) buhciim, tangciim, anciim	C2	
mushroom	(n): Pa-par; pahlur	(n): Pa-par; pahlur	C2	Tom in magic mushroom-te zuak hi.
mushroom
fungus	pateh	pateh	C2	
mushy	(adj.): 1. ( mushier , mushiest ) ပျော့ပြဲသော။ cook until the fruit is mushy. 2. (infml derog) နွဲ့လွန်းသော။ ချွဲလွန်းသော။ he gets as mushy as a Hallmark valentine. (fig)	(adj.): 1. ( mushier , mushiest ) ပျော့ပြဲသော။ cook until the fruit is mushy. 2. (infml derog) နွဲ့လွန်းသော။ ချွဲလွန်းသော။ he gets as mushy as a Hallmark valentine. (fig)	C2	
musi
laileeng	kite	kite	C2	
music	(n) tumging, lasakna tawh kisai aging theivan	(n) tumging, lasakna tawh kisai aging theivan	C2	Yanni in music tum hi.
musician	(n) tumging siammi	(n) tumging siammi	C2	Sami pen musician khat hi.
musicology	theih tuamtuam tawh kisai thu sinna leh suutna, tum theih thu sinna	theih tuamtuam tawh kisai thu sinna leh suutna, tum theih thu sinna | n. tum theih tuamtuam tawh kisai thu sinna leh suutna, tum theih thu sinna. | tum theih tuamtuam tawh kisai thu sinna leh suutna tum theih thu sinna | musicology	C2	
musii	kite	kite	C2	kakuut: lohon hun-a ‘pheengphelep’ ci-a ahaam
musk	(n) agim nam pha mahmah sazuk pan kingah zaa	(n) agim nam pha mahmah sazuk pan kingah zaa	C2	Tom pen Elon Musk ahi hi.
musk-melon	n. mazel., musk-melon	n. mazel. | musk-melon | mazel	C2	
musket	(n) khanglui thau, rifle kimuh khiat ma a khanglui tupi thau	(n) khanglui thau, rifle kimuh khiat ma a khanglui tupi thau	C2	Tom in thulom-thulop a bawl laitakin
musketeer	musketeer, zo thau a zangh mi- singtaang thau a zangh mi	musketeer | zo thau a zangh mi- singtaang thau a zangh mi | thau a zangh mi- singtaang thau a zangh mi | n. zo thau a zangh mi- singtaang thau a zangh mi.	C2	Kei silai tawh kipumkhat mi (musketeer) ka hi hi.
musketry	zo thau te, thau lot siamna	zo thau te | thau lot siamna | zo thau lot siamna zo thau te | n. zo thau lot siamna; zo thau te.	C2	
muskmelon	(n) tangmai khum nam khat	(n) tangmai khum nam khat	C2	
musky	(adj.): ကတိုးနံ့-ရသော-ထွက်သော။ မွှေးသော-သင်းသော။	(adj.): ကတိုးနံ့-ရသော-ထွက်သော။ မွှေးသော-သင်းသော။	C2	
muslim	(n) Mohamedan biakna a zuimi, Mosolman biakna	(n) Mohamedan biakna a zuimi, Mosolman biakna	C2	"Nang Muslim na hi hiam?".
muslin	(n.): pat pan a kibawl puan khauh namkhat	(n.): pat pan a kibawl puan khauh namkhat	C2	Aman Muslin a kikhansuk hi.
musquash	(n.): ကြွက်ကတိုး။	(n.): ကြွက်ကတိုး။	C2	
muss	(n.): ရှုပ်ထွေးခြင်း။	(n.): ရှုပ်ထွေးခြင်း။	C2	
mussel	(n) tuikep, toktol	(n) tuikep, toktol	C2	Tangloi (Mussel) na ne maw?
mussulman	Mussulman, Perisian leh Turki te Muslim malgawm laimal	Mussulman | Perisian leh Turki te Muslim malgawm laimal | mussulman	C2	
mussy	mussy, siangtho lo, hi liapluap	mussy | siangtho lo, hi liapluap | om lemlam kawikawi | siangtho lo hi liapluap om lemlam kawikawi	C2	
must	(v) teitei ding; ahi teitei ding	(v) teitei ding; ahi teitei ding	C2	Be must before you are
must've	kampau ah kizang in lai at na ah '' must have '', must've	kampau ah kizang in lai at na ah '' must have '' | must've	C2	
mustache	(n) mukmul	(n) mukmul	C2	Amahmah mual-khau (mustache) ziat hi.
mustachio	mustachio, muukmuulte	mustachio | muukmuulte | n. muukmuulte.	C2	
mustard	(n) ankam, kamkuak an kamtang	(n) ankam, kamkuak an kamtang	C2	Mustard tawmno bek guan in.
mustarg	mustarg, America gam a om sakol lee namkhat	mustarg | America gam a om sakol lee namkhat	C2	
mustee	n. pu leh pite minam khat bek a hi lote., pu leh pite minam khat bek a hi lote	n. pu leh pite minam khat bek a hi lote. | pu leh pite minam khat bek a hi lote | leh pite minam khat bek a hi lote | mustee	C2	
musteline	musteline	musteline | ganhing sadang ne-a mul sah nei ganhingte (seasel marten, pole-cat leh mink a kicite) | adj. ganhing sadang ne-a mul sah nei ganhingte (seasel marten, pole-cat leh mink a kicite)	C2	
muster	(v) mihon kikhawm paikhawm; (a) galkap hon lamzui damdam ding in kikhawm	(v) mihon kikhawm paikhawm; (a) galkap hon lamzui damdam ding in kikhawm	C2	
mustily	(adv.): မှိုတက်လျက်။ အချဉ်ပေါက်၍။ ခပ်ချဉ်ချဉ်။	(adv.): မှိုတက်လျက်။ အချဉ်ပေါက်၍။ ခပ်ချဉ်ချဉ်။	C2	
musty	(adj.): မှိုတက်သော။ ထိုင်းမှိုင်းသော။ မကြွရွမထက်သန်သော။	(adj.): မှိုတက်သော။ ထိုင်းမှိုင်းသော။ မကြွရွမထက်သန်သော။	C2	
muta	seen	seen	C2	kihtakhuai mahmahin na mai-ah a ding hi.
mutability	holy mutability	holy mutability	C2	
mutably	(adv.): ပြောင်းလဲ၍။	(adv.): ပြောင်းလဲ၍။	C2	
mutalo	mulato	mulato	C2	
mutant	(n) ganhing api a sunlo	(n) ganhing api a sunlo	C2	Ziri pen mutant khat suak khin hi.
mutate	mutation, v. kheek.	mutation | v. kheek. | mutate | kheek	C2	
mutative	mutative, kheek nuam	mutative | kheek nuam | adj. kheek nuam.	C2	
mute
dumb	paautheilo	paautheilo	C2	
mutgawpin	hand	hand | over | sea | moses	C2	tuipi pen lei keu-in bawl a
mutgawpsak	ship	ship | caught | could | bear	C2	Teembaw hong mutgawpsak ahih manin nangzo nawnlo
mutilate	(v): thler; tan; thlek; hlai	(v): thler; tan; thlek; hlai	C2	
mutilated	(adj.): ကိုယ်အင်္ဂါဖြတ်ထားသော။	(adj.): ကိုယ်အင်္ဂါဖြတ်ထားသော။	C2	Pakistan galkap ten India galkapte khat sem gawp (mutilated) in
mutin	say	say | publish | jerusalem | blow	C2	ci-in teembaw hawlte in a ummawh uh hi.
mutineer	n. langpang mi., langpang mi	n. langpang mi. | langpang mi | mutineer	C2	
mutinous	(adj.): langpan nasepna tawh kisai	(adj.): langpan nasepna tawh kisai	C2	
mutiny	(n) galkapte kiphun na, gakapte lungkimlo/thumanglo a omna	(n) galkapte kiphun na, gakapte lungkimlo/thumanglo a omna	C2	A LAMDANG VANZAT Tuipi tunga khualzinte lakah
mutkhak	earth	earth | nor | holding | winds	C2	Tua khit ciangin leitung kiu li-ah vantung mi li
mutkhiagawp	hiss	hiss | place | men | clap	C2	Amaute a tai laitakun huih in nawk gawpin
mutkhiamang	tempest	tempest | stealeth | away | night	C2	Lauhuaina in tuikhang pak bangin nawkgawp ding
mutloh	raising	raising | after | hath | kneaded	C2	Amaute zuautatin citaklo uh hi. Amaute pen
mutlum	lord	lord | consume | spirit | mouth	C2	A khamcippa a kilakkhiat khit ciangin A Gilopa hong kilang ding
mutmangsak	elam	elam | winds | bring | quarters	C2	Vantung mun li panin huihpi ka mutmangsak ding
mutpai	behold	behold | there | came | great	C2	Tua laitakin sehnel gam panin huihpi pingpei hong nungin
mutsiang	wind	wind | passeth | cleanseth | men	C2	“Tawlkhat sung khuavak kimu vetlo
mutt	(n.): (derog or joc) စပ်ကျသောခွေး။ a long-haired mutt of doubtful pedigree.	(n.): (derog or joc) စပ်ကျသောခွေး။ a long-haired mutt of doubtful pedigree.	C2	Tak takin mawta (mutt) ka hi hi.
mutter	(v.): စကားလုံးမသဲမကွဲ-မပီမပြင်-အသံနိမ့်နိမ့်နှင့်ပြောဆိုရေရွတ်သည်။	(v.): စကားလုံးမသဲမကွဲ-မပီမပြင်-အသံနိမ့်နိမ့်နှင့်ပြောဆိုရေရွတ်သည်။	C2	I have seen with my own eyes
mutterer	(n.): တတွတ်တွက်ရေရွတ်သူ။ ညည်းတွားရေရွတ်သူ။	(n.): တတွတ်တွက်ရေရွတ်သူ။ ညည်းတွားရေရွတ်သူ။	C2	
muttering	(n.): ရေရွတ်ခြင်း။ (also mutterings [pl]) ပွစိပွစိ လုပ်ခြင်း။ ရေရွတ်ခြင်း။	(n.): ရေရွတ်ခြင်း။ (also mutterings [pl]) ပွစိပွစိ လုပ်ခြင်း။ ရေရွတ်ခြင်း။	C2	
muttgawp	bluff		C2	
mutton	(n) tuu sa, kelsa	(n) tuu sa, kelsa	C2	As dead as a mutton
mutton-head	mihai, mutton-head	mihai | mutton-head | n. mihai.	C2	
mutual	(a) kituak, kithukim kihothei	(a) kituak, kithukim kihothei	C2	Linguistic Ties and Mutual Intelligibility.
mutuality	(n.) i hrawmhtonhnak	(n.) i hrawmhtonhnak	C2	
mutually	(adv) kituak lua	(adv) kituak lua	C2	) are often mutually intelligible.
mutule	(n.): တိုင်ထိပ်ငန်းအောက်ခံ-အလှတုံး-အလှစင်။	(n.): တိုင်ထိပ်ငန်းအောက်ခံ-အလှတုံး-အလှစင်။	C2	
muugoose	(n.): (also mongoose) မြွေပါ။	(n.): (also mongoose) မြွေပါ။	C2	
muuk	lip	lip	C2	muukmul: muuk tung-a apo samzangte
muuk-tuam	mouth-piece	mouth-piece	C2	
muukmul	mustache	mustache	C2	muukmul: muuk tung-a apo samzangte
muukmuulte	mustachio	mustachio	C2	
muuktu	nose over, to stumble and fall down	nose over | to stumble and fall down | bumble	C2	Ikhesiik sang’ ikhutlet hatzaw lelah, muuktu lua kisa in ibokliang ding hi.
muukzum	sword fish	sword fish	C2	
muut	blow	blow	C2	suangtum bangin a thukna sungah amaute kia suk uh hi.
muutlawng	blow pipe	blow pipe	C2	Nangmah in mite-a' dingin dalna khat a kimkotah na koih ding
muutluut	insufflate	insufflate	C2	
muutpuak	balloon	balloon	C2	Egypt mite tungah ka bawlna leh muvanlai in
muvanlai
mupi	eagle 	eagle 	C2	
muvom	melon	melon	C2	Leitungah pau nam tampi om
muzaw	gospel	gospel | circumcision | peter | contrariwise	C2	Amaute in genthuah ding a neih genloh
muzo	found	found | thou | hast | came	C2	“Tui ka muzo uh hi,” hong ci uh hi.
muzote	findeth	findeth | whoso | wife | good	C2	Zi a muzote na hoih a mu hi
muzzle	(n) ganhingte nak leh kam, zo thau muk	(n) ganhingte nak leh kam, zo thau muk	C2	Indeed, its snow-white muzzle proclaimed that it had already exceeded
muzzle-loader	(n.): thaulawng dawn lam pana a tang kithun thau khatpeuh	(n.): thaulawng dawn lam pana a tang kithun thau khatpeuh	C2	
muzzy	(a) siang sinsenlo, lungsim sia leh pha khenna sianglo, maan sinsen lo, cian et siangtho sinsenlo	(a) siang sinsenlo, lungsim sia leh pha khenna sianglo, maan sinsen lo, cian et siangtho sinsenlo	C2	"Muzzy in Gondoland" na theihkha hiam?
my	(poss pro) keima aa, kei aa, (ka laibu)	(poss pro) keima aa, kei aa, (ka laibu)	C2	I showed Tom my tattoo.
myalgia	myalgia, satak thagui natna	myalgia | satak thagui natna | n. sagaap lak natna. | sagaap lak natna	C2	Satak te leh guhtang te na (Myalgia or Arthralgia)
myanmar	myanmar, Myanmar	myanmar | Myanmar | kawl mi	C2	Myanmar Believers Fellowship Pawlpi MBF4.
myasthenia	sagaap gim luatna, sagaap golhna sagaap gim luatna	sagaap gim luatna | sagaap golhna sagaap gim luatna | myasthenia | sagaap golhna	C2	
mycology	pateh namsin pilna, mycology	pateh namsin pilna | mycology | pateh natna (pa) tawh kisai sinna | n. pateh natna (pa) tawh kisai sinna.	C2	
mydriasis	mit nauta zailua natna, mydriasis	mit nauta zailua natna | mydriasis	C2	
myelitis	myelitis, nungguhsung a theihtheihna thagui bawk natna	myelitis | nungguhsung a theihtheihna thagui bawk natna	C2	
mynah	mynah, luiva vom namkhat	mynah | luiva vom namkhat	C2	
myocardiagraph	myocardiagraph, lungtang kitom tehna van	myocardiagraph | lungtang kitom tehna van	C2	
myocardiograph	n. lungtang kisaaina haatna tehna vanzat., myocardiograph	n. lungtang kisaaina haatna tehna vanzat. | myocardiograph | lungtang kisaaina haatna tehna vanzat	C2	
myocardium	lungtang ii satakna, n. lungtang ii satakna.	lungtang ii satakna | n. lungtang ii satakna. | myocardium	C2	
myograph	sagaap ton leh kizalh tehna vanzat, n. sagaap ton leh kizalh tehna vanzat.	sagaap ton leh kizalh tehna vanzat | n. sagaap ton leh kizalh tehna vanzat. | myograph	C2	
myology	myology, sagaap tawh kisai thu sinna	myology | sagaap tawh kisai thu sinna | n. sagaap tawh kisai thu sinna.	C2	
myopathy	sagaap natna, n. sagaap natna.	sagaap natna | n. sagaap natna. | myopathy	C2	
myopia	n. a gamla nate muh cian theih lohna, naaicik bek muhna.	n. a gamla nate muh cian theih lohna, naaicik bek muhna. | a gamla nate muh cian theih lohna naaicik bek muhna | a gamla muhlohna | gamla nate muh cian theih lohna, naaicik bek muhna	C2	zang naupangte in mit khawhna (myopia)
myopic	myopic, a nai bek a mu thei a gamla a mulo	myopic | a nai bek a mu thei a gamla a mulo	C2	
myosis,miosis	mit nauta neuna	mit nauta neuna | myosis,miosis	C2	
myositis	(n.): မျက်စိသူငယ်အိမ်ကျုံ့ခြင်း။	(n.): မျက်စိသူငယ်အိမ်ကျုံ့ခြင်း။	C2	
myra	pamphylia	pamphylia | came | myra | city	C2	Silisia leh Pamfilia gam tawh a kizom tuipi kantanin ka pai uh
myria	sawm, tuul sawm	sawm | tuul sawm | tuul sawm. tuul sawm. | myria	C2	
myriad	(a) tampi, tampitak, pau tampi	(a) tampi, tampitak, pau tampi	C2	Animism Zomi in its myriad forms and expressions infe s
myriapod	khe tampi nei, adj. khe tampi nei.	khe tampi nei | adj. khe tampi nei. | myriapod | tampi nei	C2	Aikam leh kaichante pen insect hi lo-in myriapod ahi uh hi.
myriorama	(n.): အလှပုံအမျိုးမျိုးပေါ်အောင်မြင်ကွင်းရှုကွက်အပိုင်းအစများကို ဆက်စပ်စီစဉ်ပေးသည့်ဖျော်ဖြေမှု။	(n.): အလှပုံအမျိုးမျိုးပေါ်အောင်မြင်ကွင်းရှုကွက်အပိုင်းအစများကို ဆက်စပ်စီစဉ်ပေးသည့်ဖျော်ဖြေမှု။	C2	
myrmecology	ganhing neu a diakin miiksi thu sinna, n. ganhing neu a diakin miiksi thu sinna.	ganhing neu a diakin miiksi thu sinna | n. ganhing neu a diakin miiksi thu sinna. | myrmecology	C2	miksi-leikha nei-in kivaak Myrmecology ,n.
myrmecophagous	adj. miiksi tawh kivaak., miiksi tawh kivaak	adj. miiksi tawh kivaak. | miiksi tawh kivaak | myrmecophagous	C2	
myrmidon	myrmidon	thupiakna bangin bang mah ngaihsunlo in a semthei mi | myrmidon	C2	
myrrh	myrrh	myrrh | spices | sweet | vessels	C2	na puantualpite myrrh paknamtui, aloes paknamtui, leh thalsing namtuite
myrtle	(n) lenmui	(n) lenmui	C2	olive leh sing nam khempeuh hoih takin a khang hi.
myself	(ref. & emph. pro.) keimah tektek, keimah, kei mah leh keimah	(ref. & emph. pro.) keimah tektek, keimah, kei mah leh keimah	C2	I imagined myself at Hi s burial
myselt	myselt, keimahmah keitektek	myselt | keimahmah keitektek	C2	
mysia	mysia	mysia | after | come | passing	C2	Tua ahih manin Mysia gam nawkin pai uh
mystagogy	Mystagogy	Kihilhna. Tapidaw masate in mi khat tui a kiphumkhit cianga gamtat zia ding leh pawlpi sungah a lut ding hilh masa uhhi. Tapidaw nuntakna lim ngaihsutna hi. | Mystagogy | mystagogy	C2	
mysterious	(a) alungkham huai, adah huai, ahaksa	(a) alungkham huai, adah huai, ahaksa	C2	Galmantum (abscond) chih pen mi dangte thil toh
mystery	(n) lamdanglua in kigen theilo, pian dan lungkham huai in kitheizolo	(n) lamdanglua in kigen theilo, pian dan lungkham huai in kitheizolo	C2	Mystery laibu-te na deih hiam?
mystic	(n) na lamdang upna, dawi nasep upna	(n) na lamdang upna, dawi nasep upna	C2	Mystic khat zong ahi hi.
mystics	(n): na lamdang upna, dawi na septheih upna	(n): na lamdang upna, dawi na septheih upna	C2	
mystify	(v) mangbangter	(v) mangbangter	C2	
mystique	vangliatna theihding a haksa athu thukna, mystique	vangliatna theihding a haksa athu thukna | mystique	C2	
myth	(n) tangthu, thu man leh manlo kithei cianlo ahih hangin tanglai pek pan, akigen thu	(n) tangthu, thu man leh manlo kithei cianlo ahih hangin tanglai pek pan, akigen thu	C2	The Myth of Common Descent
mythographer	taanglai thu	taanglai thu | taanglai thu taanglai pasian (dawite) thu a gelh mi | mythographer | taanglai pasian (dawite) thu a gelh mi	C2	
mythography	mythography, taanglai thute kikhopna	mythography | taanglai thute kikhopna | n. taanglai thute kikhopna; gelhkhopna. | taanglai thute kikhopna gelhkhopna	C2	
mythologic	(adj.): ဒဏ္ဍာရီနှင့်ဆိုင်သော။ ယုံတမ်းစကားဖြစ်သော။	(adj.): ဒဏ္ဍာရီနှင့်ဆိုင်သော။ ယုံတမ်းစကားဖြစ်သော။	C2	
mythology	(n) tangthu kigente upna, tanglai thu piang leh athu kigente a kingakna, a taktak ahih leh ahih loh kitheinawnlo ahih hangin tangthu banga, kigen thute	(n) tangthu kigente upna, tanglai thu piang leh athu kigente a kingakna, a taktak ahih leh ahih loh kitheinawnlo ahih hangin tangthu banga, kigen thute	C2	Leon in mythology sinna la hi.
mythomania	n. a uang lua-a uang geenna.	n. a uang lua-a uang geenna. | tangthu pen up huai ding pehtawm-in a genthei lungsim natna | mythomania | uang lua-a uang geenna	C2	
mythum	(n) sia; tihlim	(n) sia; tihlim	C2	
myxomatosis	bilpi te a si sakthei a kilawh baih bilpi natna, myxomatosis	bilpi te a si sakthei a kilawh baih bilpi natna | myxomatosis	C2	
mzarzipan	marzipan	marzipan	C2	
ménage	(n.): အိမ်ထောင်စု။ အိမ်သူအိမ်သား။ အိမ်ထောင်အုပ်ချုပ်စီမံမှု။	(n.): အိမ်ထောင်စု။ အိမ်သူအိမ်သား။ အိမ်ထောင်အုပ်ချုပ်စီမံမှု။	C2	
n
n	n	n	C2	
n't	must n't	must n't	C2	
n,n	(n.): အင်္ဂလိပ်အက္ခရာစဉ်တွင်ဆယ့်လေးလုံးမြောက်အက္ခရာ။	(n.): အင်္ဂလိပ်အက္ခရာစဉ်တွင်ဆယ့်လေးလုံးမြောက်အက္ခရာ။	C2	
n.	swastika	swastika	C2	
n.b.	() nota bene(N.B) tthaten hminsin-aw	() nota bene(N.B) tthaten hminsin-aw	C2	
n/n	laimal sawm leh lina	laimal sawm leh lina | n. laimal sawm leh lina.	C2	
na	your	your | yours | things | possessive marker	C2	Moses in, “Na cih bang hita hen! Na maitang kong
na
van	thing	thing	C2	
na
vante	goods	goods	C2	
na'n	god	god | hath | heart | thou	C2	Bang hangin migilo in Pasian simmawh
naai-lung	silk-worm	silk-worm	C2	
naaihuai	relative	relative	C2	khuapih cihpeuh makaai upa-in omleh midangte’ sang-in ei hong humtuamleh ki-uut sese-hi.
naaihuai
tanau
kinaihpih
meeltheih	relative 	relative 	C2	
naaikhau	floss	floss	C2	
naailung	silk-worm	silk-worm	C2	Pum Kam Thuklai Naailung Sericulture.
naaina	contiguity	contiguity	C2	
naaina
kinaihna
kisukkhaakna	contiguity	contiguity	C2	
naainawng	involved, to annoy to disturb	involved | to annoy to disturb	C2	
naaipaak	yellow	yellow	C2	uat luat leh siavuan te lak in
naaipen	hithermost	hithermost	C2	Hih Pasian — a thu kicing
naaipuan	damask	damask	C2	
naak,	respire	respire	C2	
naak-saau	snout	sharp-nosed	C2	
naak-siin	operculum	operculum	C2	
naakbah	nose ring	nose ring	C2	
naakguh	limb	limb	C2	Tua ciangin kumpipa lau lua mahmah
naakkhia	respire	respire	C2	ka sungah nuntakna a om lai teng
naakna	respiration	respiration	C2	Ahih hangin Pasian in Noah leh amah tawh teembaw sungah
naaknaak	deliberately must without fail	deliberately must without fail	C2	Tom natna naaknaak hi.
naakpheh	nose-band	nose-band	C2	Atote’ thunsa, atote’ naakpheh vawhsa bang-a gamta kampau-uh ahi hi.
naakpi	much exceedingly utmost	much exceedingly utmost	C2	Khangthak Zomite-in naakpi-in ngaihsutding ahihi.
naakpil	sharp-nosed	sharp-nosed	C2	
naakpil
naak-saau	sharp-nosed  	sharp-nosed  	C2	
naaksi	nose-bleed	nose-bleed	C2	sungpai te a kilat khiat dan (symptom) taangpi ahi hi
naaksia	snore	snore	C2	Zan khuamial pen mite' ihmut hithiat hun leh zukham hun ahi hi.
naakvang	nostrill	nostrill	C2	napniit: naak sungtawng-a a-om napte naakvang pan-a pusuaksak.
naal	slimy	slimy	C2	Hih lai-ah naal mahmah hi.
naalsak	lubricate		C2	Laisimna in, laisim hong naalsak hi.
naam	sons	sons | elah | son | jephunneh	C2	Jefunneh' tapa Kaleb' tapate: Iru
naamsaau	sword dagger rapier	sword dagger rapier	C2	
naamsau	dirk		C2	Naamsau pen tui bangin a kawi hi.
naap	phlegm		C2	Pawtsan-kha-ka in, hu-tui a niam-naap hi.
naarah	naarah	naarah | went | wives | helah	C2	Janoah panin Ataroth leh Naarah-ah paisuk a, Jerikho banin Jordan-ah tawp hi.
naarai	son	son | ezbai | hezro | carmelite	C2	Karmel khuami Hezro, Ezbai' tapa Naarai,
naaran	towns	towns | thereof | beth | eastward	C2	Amau' neihsa gam leh a ten'na uh Bethel leh a khuapite
naau	smaller brother or sister	smaller brother or sister	C2	Kong it Zomi u leh naau
naaungeek	baby infant	baby infant	C2	
naaupang	child boy girl chap kid lad	child boy girl chap kid lad	C2	
nab	(v) man, (guta man uh hi)	(v) man, (guta man uh hi)	C2	
nabob	hauh nop citdan aciam nuam a ut mihau, nabob	hauh nop citdan aciam nuam a ut mihau | nabob	C2	
nacelle	nacelle, vanlengset tuamna	nacelle | vanlengset tuamna	C2	
nacre	(n.): ကနုကမာကောင်။	(n.): ကနုကမာကောင်။	C2	
nacreous	(adj.): ကနုကမာနှင့်တူသော-ကဲ့သို့သော။	(adj.): ကနုကမာနှင့်တူသော-ကဲ့သို့သော။	C2	
nadangin	fat	fat | dieth | itself | torn	C2	ahih hangin bangbang hi leh na ne kei ding uh hi.
nadir	(n.): အောက်ခြေတည့်တည့်ကျသောနေရာ။ အောက်အကျဆုံးအခြေအနေ။	(n.): အောက်ခြေတည့်တည့်ကျသောနေရာ။ အောက်အကျဆုံးအခြေအနေ။	C2	Ziri in Walid leh Nadir kigial mukhia
naevose	(adj.): အပြောက်အပြောက်-အစက်စက်ပါသော-ရှိသော-ဖြစ်သော။	(adj.): အပြောက်အပြောက်-အစက်စက်ပါသော-ရှိသော-ဖြစ်သော။	C2	
nag	(n) sakol teek, sakol zattak nawnlo; (v) lungkimlo a phunphun, nawt nawt in paupau	(n) sakol teek, sakol zattak nawnlo; (v) lungkimlo a phunphun, nawt nawt in paupau	C2	Kha muanna nag am nuam lunggulh ing
