zolai	english	translations	cefr	example
akibawl	brass	brass | thou | shalt | put	A1	5 Release akibawl ciangin Version 1.
akipan	missing	missing | things | about | month	A1	amah akipan a innkuanpihte Topa’ thu a hilh uh hi.
akisim	passeth	passeth | every | one | among	A1	kum sawmnih panin a tungsiah peuhmah in Topa biakna pia ding hi.
akkad	erech	erech | kingdom | babel | accad	A1	Ama kumpi gam kipatna Babel, Erek, leh Akkad hi
akrabbim	side	side | going | went | south	A1	Amor mite' gamgi pen Akrabbim kahtohna, Sela leilu lam pan kipan hi.
akrabbin	turn	turn | south | pass | your	A1	
aksah	daughter	daughter | achsah | give | wife	A1	Tua ciangin Kaleb in, “Kiriathsefer simin
akshaf	king	king | meron | achshaph | shimron	A1	A gam in Helkath, Hali, Beten, Akshaf,
aksi	star	stars | star | missing | multiply	A1	Mipilte in tua aksi a muh uh ciangin nuam mahmah uh a,
aksite	stars	stars | heaven | missing | made	A1	Ni leh kha mial a, aksite zong taang nawn lo hi.
akzib	achzib	achzib | keilah | coast | mareshah	A1	Keilah, Akzib, leh Mareshah: khuapi kua, a khuaneute tawh ahi hi.
ala	alas	alas | returned | joshua | perceived	A1	Ja-ala’ suante, Darkon’ suante, Giddel’ suante,
alabbin	aijalon	aijalon | shaalabbin | jethlah	A1	
alangte	lot	lot | inheritance	A1	Manasseh minam alangte: Amau sung panin hong pai-in David kumpi-in
allammelek	alammelech	alammelech | amad | mishal | reacheth	A1	leh Mishal huam hi; nitumna lamah Karmel leh Shihorlibnath ban a,
allon	allon	allon | jedaiah | son | shimri	A1	a tapa Shifi’ tapa Ziza—
almeon	meon	meon | baal | beth | heshbon	A1	leh mualzang tunga om a khuapite khempeuh; Dibon
almodad	almodad	almodad | begat | joktan | sheleph	A1	Joktan in Almodad, Shelef, Hazarmaveth, Jerah,
almon	almon	almon | suburbs | four | anathoth	A1	Anathoth a lonona gamte tawh
almond	almonds	almonds | green | nuts | knop	A1	a ciangkhutte a kang mun a om dingin kheh
almondiblathaim	encamped	encamped | removed | almon | diblathaim	A1	Dibongad panin dingkhia uh a, Almondiblathaim-ah giahphual sat uh hi.
aloes	side	side | about | aloes | came	A1	na puantualpite myrrh paknamtui, aloes paknamtui, leh thalsing namtuite
alui	because	because | old | passed | new	A1	Alui pen (Space) UN Group No
alush	encamped	encamped | removed | alush | dophkah	A1	Dofkah panin dingkhia uh a, Alush-ah giahphual sat uh hi.
alvah	duke	duke | names | timnah | alvah	A1	Amau' innkuan leh a ten'na
alvan	these	these | children | shobal | alvan	A1	Shobal' tapate: Alvan, Manahath, Ebal, Shefo, leh Onam ahi hi.
ama	missing	missing | god | hath | son	A1	ama pawl tul sawmli leh zanga pha hi.
ama'lu	anointing	anointing | thou | take | oil	A1	Nangmah in nilh sathau la-in
ama'thu	thou	thou | shalt | wrest | judgment	A1	“Ama'thu neihna-ah na mi zawngpa’ thutan’na na heikhiatsak kei ding hi.
ama'tung	there	there | laid | sum | money	A1	
amad	amad	amad | alammelech | mishal | reacheth	A1	leh Mishal huam hi; nitumna lamah Karmel leh Shihorlibnath ban a,
amahmah	himself	himself | own | clothes | bathe	A1	Keima pumpi bang ahi, amahmah na kiangah ka hong ciahsak kik hi.
amai	before	before | seat | went | sprinkle	A1	Amai nawt ki-itna ahi hi.
amalek	amalek	amalek | amalekites | ammon | children	A1	Joshua in Amalek leh ama' mite namsau tawh vat maai hi.
amalekte	amalek	amalek | amalekites | among | against	A1	Amah in Amalekte kumpipa Agag a hingin man
amam	amam	amam | shema | moladah	A1	
aman	cost	missing | jesus | answered | eat	A1	Topa in, “Aman lo thukhen mangpa’ thugenna na ngaihsun un.
amau	them	missing | every | children | sons	A1	mupi, mu-meika, amau namciat;
amaute'tung	ever	ever | feet | die | statute	A1	
amaute'tungah	wrath	wrath | may | therefore | let	A1	
ameet	profit	fear | brother | off | usury	A1	A meet a pung lakna tawh a hau mipa pen
amen	amen	amen | say | abomination | shaken	A1	Note khempeuh tungah hehpihna thupha om ta hen. Amen.
ammi	ben	ben | son | called | name	A1	Rawl a ṭammi kha thil ṭhaṭha in
ammiel	gemalli	gemalli | machir | house | son	A1	Dan minam panin Gemalli’ tapa Ammiel;
ammihud	son	son | elishama | children | host	A1	Simeon minam panin Ammihud’ tapa Shemuel ahi hi.
amminadab	son	son | amminadab | captain | host	A1	Judah sung panin Amminadab’ tapa Nahshon;
ammishaddai	son	son | children | ahiezer | ammishaddai	A1	Dan sung panin Ammishaddai’ tapa Ahiezer;
ammon	children	children | ammon | ammonite | king	A1	Edom, Moab leh Ammon mite;
amnin	because	because | esau | jacob | father	A1	
amor	amorites	amorites | sihon | amorite | israel	A1	leh Jubus mite, Amor mite, Girgash mite,
amrafel	days	days | king | amraphel | shinar	A1	leh Goiim kumpipa Tidal-te' hun lai-in,
amram	amram	amram | amramites | families | begat	A1	Bani-te beh panin Ma-adai, Amram, Uel
anab	anakims	anakims | anab | mountains | joshua	A1	Joshua in a khuapite uh tawh amaute susiamang khawm hi.
anah	son	son | zibeon | anah | daughter	A1	Hori mite’ ukpite in: ukpite Lotan, Shobal, Zibeon, Anah,
anaharath	anaharath	anaharath | shion | hapharaim	A1	
anak	moreover	moreover | sons | shean | where	A1	(Anak mite zahin a tun' a sang
anam	kind	ludim | basins | begat | anamim	A1	Izipt in Lud mite, Anam mite, Lehab mite, Naftuh mite,
anannim	allon	allon | coast | heleph | zaanannim	A1	
anath	horem	horem | nevertheless | shamgar | days	A1	a khua neute tawh ahi hi.
anathoth	anathoth	anathoth | men | jeremiah | son	A1	Anathoth khuami Abiezer, Hushah mi Mebunnai,
anathshiloh	about	about | border | went | sea	A1	
ancilna	build	build | offerings | david | offering	A1	tun' uh ciangin bawngtalte muktu ahih manin Uzza in Thuciamna Singkuang
aner	aner	aner | mamre | suburbs | brother	A1	hihte pen Kohath-te beh a omlaite-a' ding ahi hi.
ang	bosom	bosom | lord | arms | blessings	A1	Simeon in Zeisu a ang-ah pomin Pasian a phat-inah”
angvan	persons	persons | accept | time | judgment	A1	Pasian angvan ding a, ama ading gensak ding na hi uh hiam?
angvanna	thou	thou | reprove | persons | horn	A1	A simthamin angvanna na zat uh leh amah in note
anhai	glutton	glutton | evil | our | rebellious	A1	“Krete mite in a zuau thei mi
anim	anim	anim | eshtemoh | anab	A1	
ankan	selfsame	selfsame | brethren | measures | corn	A1	in lupnate, kuangte, leh leibeelte, mangbuh, mangbuhham, an, ankan, bepi leh basan,
ankhing	garbage	brother | usury | thou | shalt	A1	Kote in an neek na’ng
ankholna	opened	opened | famine | over | face	A1	Tua ahih ciangin gam khempeuhah kialpi
ankung	begin	begin | sickle | herb | standing	A1	Migilopa tomkha sung a liat hangin kiak bangin vulkik pah
ankungte	before	before | earth | away | mouth	A1	Nangmah in ganhingte-a' dingin lopa
anlak	harvest	harvest | hast | thou | water	A1	lo pawi hun leh anlak hun
anlakna	thou	thou | fruits | shalt | tears	A1	“Na anlakna pan uh leh sathau leh leenggah na suknate uh panin
anlim	savoury	lusting | should | mountain | beauty	A1	Gensiatna pen anlim mahmah tawh kibang a, thakhatin i sungah kihupsuk hi.
anlimte	royal	royal | work | dainties | fat	A1	Asher’ an lim ding a, amah in kumpi anlimte bawl ding hi.
anlom	day	day | before | thine | fall	A1	“Note in Sabbath khit a zing ciang
anlui	fruit	fruit | year | until | eat	A1	A kum giatna-ah lo na pawi ding uh ciangin
anlum	bread	bread | eat | unleavened | shalt	A1	sabuai leh a nazat khempeuhte leh Ompihna Anlum;
anlumbek	unleavened	unleavened | bread | one | oiled	A1	
annek	eat	eat | under | themselves | raiment	A1	annek tuidawn kicingin cidam hi.
annel	oil	oil | meat | flour | offering	A1	Silngo tawm khat in annel lom a vekpi a tawksak thei hi.
anoth	beth	beth | maarath | anoth | eltekon	A1	Ma-arath, Beth-anoth, leh Eltekon: khuapi guk, a khua neute tawh ahi hi.
anpal	oblation	oblation | offer | sheaf | leaven	A1	gim namtui dingin biakna tau tungah kipia lo ding hi.
anpalte	firstfruits	firstfruits | children | ground | fields	A1	Na neihsate leh na anpalte tawh Topa zahtak in.
anpiak	butler	butler | restored | chief | butlership	A1	Amah in an piapipa anpiak nasep-ah koih kik
antang	fast	much | buy | commanded | departed	A1	Tua ciangin amaute in a late uh antang suan-in paikhia uh hi.
antangte	keep	keep | let | food | corn	A1	Hong tung ding kum hoih sunga an khempeuh amaute khawmsak in la
ante	bread	bread | increase | field | food	A1	Ka khawhsa ante midangte’ nek suak hen la
anteh	give	give | came | hatred | drink	A1	Mi pawlkhat in na khempeuh ka nektheih ding hi
anthak	year	year | eat | until | old	A1	A kum giatna-ah lo na pawi ding uh ciangin
anthul	Roselle	order | against | moreover | roof	A1	na a semte leh patpuan a gante lungkham ding uh hi.
anu	peace	peace | blemish | offering | without	A1	Yanni in anu hilh hi.
anuai	families	families | inheritance | simeon | artaxerxes	A1	Judah minam leh Simeon minam sung panin amaute in anuai-a
apa	maseuline	take | peace | blemish | tenth	A1	a sitbang lo apa khat na pia ding uh hi.
apha	missing	missing | children | god | answered	A1	bangci a al kik ding hiam?
apna	altar	altar | crown | israel | after	A1	Jerusalem khua-ah ki-apna pawikhamna a om lai takin phalbi lai hi a;
appa	sanctified	sanctified | field | redeem | house	A1	tua lo ama-a' hisuak ding hi.
apsa	goeth	goeth | thing | redeemed | voice	A1	Mite lak nangawn panin a kisusiamang dingin a ki-apsa mi peuhmah
arab	arab	arab | children | men | philistines	A1	leh Ashdod mite in Jerusalem kulh cian' nasep kizom suakin
arabah	plain	plain | arabah | went | jordan	A1	sun ma sungteng pai-in Mahanaim tung uh hi.
arad	dwelt	dwelt | land | king | arad	A1	Hormah kumpi, khat; Arad kumpi, khat;
arah	children	children | naarath | naarah | sons	A1	Arah suante zasagih leh sawmsagih-le-nga ahi hi.
araim	shaaraim	shaaraim | ekron | philistines | until	A1	Sha-araim, Adithaim, Gederah, Gederothaim: khuapi sawm-le-li, a khua neute tawh ahi hi.
araloth	children	children | sharp | knives | circumcised	A1	
aram	aram	aram | came | lud | children	A1	Aram’ tapate: Uz, Hul, Gether leh Mash ahi hi.
aran	these	these | dishan | gezer | towns	A1	Dishan' tapate: Uz leh Aran ahi hi.
ararat	land	land | month | together | against	A1	Kha sagihna, tua kha ni sawmlesagih ni-in Ararat mualtungah teembaw kinga hi.
arath	maarath	maarath | beth | anoth | eltekon	A1	Ma-arath, Beth-anoth, leh Eltekon: khuapi guk, a khua neute tawh ahi hi.
arba	arba	arba | according | kirjath | anak	A1	Amaute in Judah mualtung gam Kiriatharba
ard	ard	ard | family | naaman | bela	A1	Benjamin’ tapate: Bela, Bekher, Ashbel, Gera, Naaman, Ehi, Rosh, Muppim,
areli	arodi	arodi | family | areli | arodites	A1	Gad’ tapate: Zifion, Haggi, Shuni, Ezbon, Eri, Arodi, leh Areli ahi hi.
argob	kingdom	kingdom | being | took | argob	A1	kulhpite leh sumngo zawlte a nei khuapi lian sawmguk nei hi);
ariok	king	king | amraphel | forth | made	A1	leh Goiim kumpipa Tidal-te' hun lai-in,
